FirstName;SurName;UserPrincipalName;DisplayName;Password;Department;Path
Mai;Lunde;Mai.Lunde@sec.core;Mai Lunde;5A99a9cCsJ3tJwna;Human Resources;"OU=Human Resources,OU=AD-Users,DC=sec,DC=core"
Sara;Reishus;Sara.Reishus@sec.core;Sara Reishus;Shn2DgaLXsdbDq4s;Developer Team;"OU=Developer Team,OU=AD-Users,DC=sec,DC=core"
Roar;Frandsen;Roar.Frandsen@sec.core;Roar Frandsen;RwShP4WG9ZS2fUQW;Developer Team;"OU=Developer Team,OU=AD-Users,DC=sec,DC=core"
Erik;Rinde;Erik.Rinde@sec.core;Erik Rinde;tXZgv9kmvPLK8Z9R;IT-Drift;"OU=IT-Drift,OU=AD-Users,DC=sec,DC=core"
Rolf;Egeberg;Rolf.Egeberg@sec.core;Rolf Egeberg;Gstp4yaY9vMrqfyj;Developer Team;"OU=Developer Team,OU=AD-Users,DC=sec,DC=core"
Tove;Myre;Tove.Myre@sec.core;Tove Myre;zW5aQHEhwpHBrHPf;Developer Team;"OU=Developer Team,OU=AD-Users,DC=sec,DC=core"
Solveig;Magnus;Solveig.Magnus@sec.core;Solveig Magnus;UxEk9EkpUhpBCNEC;Renhold;"OU=Renhold,OU=AD-Users,DC=sec,DC=core"
Andrea;Lofthus;Andrea.Lofthus@sec.core;Andrea Lofthus;7jH6ndJgPTEaQdfv;Developer Team;"OU=Developer Team,OU=AD-Users,DC=sec,DC=core"
Odd;Skogen;Odd.Skogen@sec.core;Odd Skogen;G68svMAyQR9cHcey;Human Resources;"OU=Human Resources,OU=AD-Users,DC=sec,DC=core"
Anton;Bredahl;Anton.Bredahl@sec.core;Anton Bredahl;rQnr9ftxnSDQtHga;Developer Team;"OU=Developer Team,OU=AD-Users,DC=sec,DC=core"
Øyvind;Wolle;Øyvind.Wolle@sec.core;Øyvind Wolle;aq8tv67t3Jj8kkMN;Developer Team;"OU=Developer Team,OU=AD-Users,DC=sec,DC=core"
Ann;Ostberg;Ann.Ostberg@sec.core;Ann Ostberg;6gwLzKXFQd66MPEu;Developer Team;"OU=Developer Team,OU=AD-Users,DC=sec,DC=core"
Gjertrud;Saether;Gjertrud.Saether@sec.core;Gjertrud Saether;dw4Egm3EVXMWSZcR;Developer Team;"OU=Developer Team,OU=AD-Users,DC=sec,DC=core"
Gaute;Aas;Gaute.Aas@sec.core;Gaute Aas;Euaq5qr4e2mnr66K;IT-Drift;"OU=IT-Drift,OU=AD-Users,DC=sec,DC=core"
Ronald;Andreassen;Ronald.Andreassen@sec.core;Ronald Andreassen;JWFTKxMEuEkZS6xW;Developer Team;"OU=Developer Team,OU=AD-Users,DC=sec,DC=core"
Felix;Lengyel;Felix.Lengyel@sec.core;Felix Lengyel;JZsCvgFY7UNjqtLf;Renhold;"OU=Renhold,OU=AD-Users,DC=sec,DC=core"
Åshild;Brundtland;Åshild.Brundtland@sec.core;Åshild Brundtland;fu2TcZZ9rK5QNtCL;Developer Team;"OU=Developer Team,OU=AD-Users,DC=sec,DC=core"
Håkon;Folstad;Håkon.Folstad@sec.core;Håkon Folstad;L6pTTux6ey9Sc7nf;Developer Team;"OU=Developer Team,OU=AD-Users,DC=sec,DC=core"
Siv;Berge;Siv.Berge@sec.core;Siv Berge;AkYHsh86h5YG6Cub;Regnskap;"OU=Regnskap,OU=AD-Users,DC=sec,DC=core"
Anne;Ullmann;Anne.Ullmann@sec.core;Anne Ullmann;TPTkN6gb9P6qRRZ7;IT-Drift;"OU=IT-Drift,OU=AD-Users,DC=sec,DC=core"
Preben;Orten;Preben.Orten@sec.core;Preben Orten;rBJ9UA2WPFs8q9ku;Developer Team;"OU=Developer Team,OU=AD-Users,DC=sec,DC=core"
Oliver;Lunde;Oliver.Lunde@sec.core;Oliver Lunde;kqjwRZaG2MdnE4pZ;Regnskap;"OU=Regnskap,OU=AD-Users,DC=sec,DC=core"
Karoline;Olsen;Karoline.Olsen@sec.core;Karoline Olsen;fUNYjpEP9d8BjS8q;Developer Team;"OU=Developer Team,OU=AD-Users,DC=sec,DC=core"
Kristina;Eiker;Kristina.Eiker@sec.core;Kristina Eiker;sJSdxWnxT2w6wPuV;Developer Team;"OU=Developer Team,OU=AD-Users,DC=sec,DC=core"
Georg;Tvedt;Georg.Tvedt@sec.core;Georg Tvedt;FNxdcjRHvwMmkfWS;Developer Team;"OU=Developer Team,OU=AD-Users,DC=sec,DC=core"
Annette;Aadland;Annette.Aadland@sec.core;Annette Aadland;48CB8mHHUY9JQxjy;Developer Team;"OU=Developer Team,OU=AD-Users,DC=sec,DC=core"
Vidar;Ryland;Vidar.Ryland@sec.core;Vidar Ryland;eWf75enXVG7GvwXJ;Developer Team;"OU=Developer Team,OU=AD-Users,DC=sec,DC=core"
